Datum,Temperatur,Humidity
2021-03-04 08:45:01,25.5,36.9
2021-03-04 08:46:01,25.7,35.1
2021-03-04 08:47:01,25.7,34.7
2021-03-04 08:48:02,25.9,35.0
2021-03-04 08:49:02,26.0,36.8
2021-03-04 08:50:01,26.0,35.2
2021-03-04 08:51:01,26.0,37.1
2021-03-04 08:52:01,26.1,34.8
2021-03-04 08:53:01,26.1,34.4
2021-03-04 08:54:01,26.1,40.0
2021-03-04 08:55:02,26.2,36.0
2021-03-04 08:56:02,26.2,34.4
2021-03-04 08:57:01,26.3,34.4
2021-03-04 08:58:01,26.3,34.3
2021-03-04 08:59:01,26.3,34.3
2021-03-04 09:00:01,26.3,34.6
2021-03-04 09:01:01,26.2,34.1
2021-03-04 09:02:05,26.2,34.2
2021-03-04 09:03:01,26.2,34.2
2021-03-04 09:04:01,26.1,34.1
2021-03-04 09:05:01,26.2,35.4
2021-03-04 09:06:01,26.2,34.1
2021-03-04 09:07:02,26.2,34.7
2021-03-04 09:08:02,26.2,37.4
2021-03-04 09:09:01,26.2,34.3
2021-03-04 09:10:08,26.2,34.2
2021-03-04 09:11:02,26.3,34.3
2021-03-04 09:12:02,26.2,34.2
2021-03-04 09:13:01,26.3,34.3
2021-03-04 09:14:01,26.2,34.2
2021-03-04 09:15:01,26.2,34.3
2021-03-04 09:16:01,26.3,34.3
2021-03-04 09:17:02,26.3,34.3
2021-03-04 09:18:02,26.3,34.3
2021-03-04 09:19:01,26.3,34.2
2021-03-04 09:20:01,26.4,34.4
2021-03-04 09:21:01,26.3,34.2
2021-03-04 09:22:01,26.4,34.2
2021-03-04 09:23:01,26.4,34.3
2021-03-04 09:24:02,26.4,34.3
2021-03-04 09:25:02,26.4,34.3
2021-03-04 09:26:01,26.4,34.3
2021-03-04 09:27:01,26.4,34.3
2021-03-04 09:28:01,26.4,34.3
2021-03-04 09:29:01,26.4,34.3
2021-03-04 09:30:01,26.4,34.6
2021-03-04 09:31:02,26.4,34.2
2021-03-04 09:32:02,26.4,34.3
2021-03-04 09:33:01,26.5,34.3
2021-03-04 09:34:01,26.5,34.3
2021-03-04 09:35:01,26.4,34.3
2021-03-04 09:36:01,26.4,34.2
2021-03-04 09:37:01,26.5,34.3
2021-03-04 09:38:02,26.5,34.1
2021-03-04 09:39:02,26.5,34.7
2021-03-04 09:40:05,26.5,35.0
2021-03-04 09:41:04,26.5,34.3
2021-03-04 09:42:02,26.5,34.3
2021-03-04 09:43:02,26.4,34.3
2021-03-04 09:44:01,26.4,34.2
2021-03-04 09:45:01,26.4,34.3
2021-03-04 09:46:01,26.4,34.3
2021-03-04 09:47:01,26.4,34.4
2021-03-04 09:48:01,26.4,34.5
2021-03-04 09:49:02,26.4,36.3
2021-03-04 09:50:02,26.4,34.7
2021-03-04 09:51:01,26.4,34.5
2021-03-04 09:52:01,26.4,34.5
2021-03-04 09:53:01,26.4,34.4
2021-03-04 09:54:01,26.4,34.5
2021-03-04 09:55:02,26.4,35.2
2021-03-04 09:56:02,26.5,34.5
2021-03-04 09:57:02,26.4,34.4
2021-03-04 09:58:01,26.4,34.5
2021-03-04 09:59:01,26.5,34.6
2021-03-04 10:00:01,26.5,34.7
2021-03-04 10:01:01,26.4,34.6
2021-03-04 10:02:02,26.4,34.6
2021-03-04 10:03:02,26.4,34.7
2021-03-04 10:04:01,26.4,34.7
2021-03-04 10:05:01,26.4,34.8
2021-03-04 10:06:01,26.4,34.7
2021-03-04 10:07:01,26.4,34.7
2021-03-04 10:08:01,26.4,34.7
2021-03-04 10:09:02,26.4,34.7
2021-03-04 10:10:02,26.4,34.7
2021-03-04 10:11:01,26.4,34.7
2021-03-04 10:12:01,26.4,34.7
2021-03-04 10:13:01,26.4,34.7
2021-03-04 10:14:01,26.4,34.7
2021-03-04 10:15:01,26.5,34.8
2021-03-04 10:16:02,26.4,34.7
2021-03-04 10:17:02,26.5,34.8
2021-03-04 10:18:01,26.4,34.7
2021-03-04 10:19:01,26.5,34.7
2021-03-04 10:20:01,26.5,34.8
2021-03-04 10:21:01,26.5,34.8
2021-03-04 10:22:01,26.5,34.8
2021-03-04 10:23:02,26.5,34.9
2021-03-04 10:24:02,26.5,34.9
2021-03-04 10:25:01,26.4,34.7
2021-03-04 10:26:01,26.4,34.7
2021-03-04 10:27:01,26.5,36.4
2021-03-04 10:28:01,26.4,35.7
2021-03-04 10:29:01,26.3,35.3
2021-03-04 10:30:02,26.2,35.6
2021-03-04 10:31:02,26.1,35.8
